code,name,market
7203,トヨタ自動車,プライム
285A,キオクシアホールディングス,プライム
9984,ソフトバンクグループ,プライム
9434,ソフトバンク,プライム
6758,ソニーグループ,プライム
6861,キーエンス,プライム
8306,三菱UFJフィナンシャル・グループ,プライム
9432,日本電信電話,プライム
9433,KDDI,プライム
4063,信越化学工業,プライム
6098,リクルートホールディングス,プライム
6501,日立製作所,プライム
6502,東芝,プライム
6503,三菱電機,プライム
6752,パナソニックホールディングス,プライム
6902,デンソー,プライム
6954,ファナック,プライム
7011,三菱重工業,プライム
7201,日産自動車,プライム
7267,本田技研工業,プライム
7269,スズキ,プライム
7270,SUBARU,プライム
7741,HOYA,プライム
7751,キヤノン,プライム
7974,任天堂,プライム
8001,伊藤忠商事,プライム
8002,丸紅,プライム
8031,三井物産,プライム
8035,東京エレクトロン,プライム
8053,住友商事,プライム
8058,三菱商事,プライム
8113,ユニ・チャーム,プライム
8267,イオン,プライム
8316,三井住友フィナンシャルグループ,プライム
8411,みずほフィナンシャルグループ,プライム
8591,オリックス,プライム
8766,東京海上ホールディングス,プライム
8801,三井不動産,プライム
8802,三菱地所,プライム
9020,東日本旅客鉄道,プライム
9022,東海旅客鉄道,プライム
9101,日本郵船,プライム
9104,商船三井,プライム
9202,ANAホールディングス,プライム
9501,東京電力ホールディングス,プライム
9503,関西電力,プライム
9613,エヌ・ティ・ティ・データグループ,プライム
9843,ニトリホールディングス,プライム
9983,ファーストリテイリング,プライム
4502,武田薬品工業,プライム
4503,アステラス製薬,プライム
4519,中外製薬,プライム
4568,第一三共,プライム
4661,オリエンタルランド,プライム
4689,LINEヤフー,プライム
4901,富士フイルムホールディングス,プライム
4911,資生堂,プライム
5108,ブリヂストン,プライム
5401,日本製鉄,プライム
6178,日本郵政,プライム
6301,コマツ,プライム
6326,クボタ,プライム
6367,ダイキン工業,プライム
6702,富士通,プライム
6723,ルネサスエレクトロニクス,プライム
6971,京セラ,プライム
6981,村田製作所,プライム
6701,日本電気,プライム
6857,アドバンテスト,プライム
6920,レーザーテック,プライム
6961,エンプラス,プライム
6134,FUJI,プライム
4092,日本化学工業,プライム
4078,堺化学工業,プライム
6965,浜松ホトニクス,プライム
6777,サンテックホールディングス,プライム
4062,イビデン,プライム
5803,フジクラ,プライム
6376,日機装,プライム
485A,パワーエックス,プライム
278A,テラドローン,プライム
3395,サンマルクホールディングス,スタンダード
7412,アトム,スタンダード
7605,フジ・コーポレーション,スタンダード
9945,プレナス,スタンダード
9873,日本KFCホールディングス,スタンダード
8398,阿波銀行,スタンダード
8386,百十四銀行,スタンダード
3222,三光マーケティングフーズ,スタンダード
4477,BASE,グロース
4485,JTOWER,グロース
4382,HEROZ,グロース
5253,カバー,グロース
4194,ビジョナル,グロース
7342,ウェルスナビ,グロース
4478,フリー,グロース
4176,ココナラ,グロース
5595,QPS研究所,グロース
9166,GENDA,グロース
4053,Sun Asterisk,グロース
4180,Appier Group,グロース
4059,セルソース,グロース
4488,AI inside,グロース
